product_category_name,bad_reviews,reviews,worstreviews_perc
fashion_roupa_masculina,37,131,28.24
moveis_escritorio,440,1687,26.08
telefonia_fixa,67,262,25.57
NULL,353,1598,22.09
audio,79,361,21.88
casa_conforto,88,435,20.23
construcao_ferramentas_seguranca,39,193,20.21
moveis_decoracao,1621,8331,19.46
cama_mesa_banho,2112,11137,18.96
informatica_acessorios,1461,7849,18.61
artes,38,207,18.36
moveis_sala,91,502,18.13
casa_construcao,107,600,17.83
climatizacao,52,292,17.81
fashion_underwear_e_moda_praia,23,130,17.69
construcao_ferramentas_jardim,42,240,17.50
telefonia,761,4517,16.85
bebes,509,3048,16.70
moveis_quarto,18,110,16.36
relogios_presentes,967,5950,16.25
ferramentas_jardim,696,4329,16.08
agro_industria_e_comercio,34,212,16.04
eletronicos,433,2749,15.75
moveis_cozinha_area_de_servico_jantar_e_jardim,44,280,15.71
utilidades_domesticas,1086,6943,15.64
consoles_games,173,1127,15.35
automotivo,643,4213,15.26
construcao_ferramentas_construcao,140,926,15.12
bebidas,55,377,14.59
esporte_lazer,1260,8640,14.58
perfumaria,498,3421,14.56
construcao_ferramentas_iluminacao,43,296,14.53
artigos_de_natal,21,146,14.38
eletroportateis,97,677,14.33
market_place,44,309,14.24
instrumentos_musicais,95,675,14.07
beleza_saude,1321,9645,13.70
industria_comercio_e_negocios,36,266,13.53
brinquedos,552,4091,13.49
cool_stuff,495,3772,13.12
papelaria,328,2507,13.08
pcs,26,200,13.00
pet_shop,251,1939,12.94
alimentos,64,495,12.93
fashion_bolsas_e_acessorios,259,2039,12.70
eletrodomesticos_2,30,238,12.61
fashion_calcados,32,261,12.26
eletrodomesticos,97,806,12.03
sinalizacao_e_seguranca,23,197,11.68
livros_tecnicos,29,266,10.90
malas_acessorios,105,1088,9.65
livros_interesse_geral,47,549,8.56
alimentos_bebidas,22,279,7.89
